"main_cause"
"com.github.andlyticsproject.exception.DeveloperConsoleException"
"net.sqlcipher.database.DatabaseObjectNotClosedException"
"brut.common.BrutException"
"com.dsatab.exception.InconsistentDataException"
"java.util.concurrent.RejectedExecutionException"
"java.security.SignatureException"
"com.fsck.k9.mail.MessagingException"
"com.jcraft.jsch.JSchException"
"java.lang.NoClassDefFoundError"
"com.fasterxml.jackson.core.JsonParseException"
"java.lang.VerifyError"
"java.lang.IllegalAccessException"
"com.badlogic.gdx.utils.GdxRuntimeException"
"junit.framework.AssertionFailedError"
"org.gradle.api.GradleScriptException"
"com.dsatab.cloud.AuthorizationException"
"io.selendroid.exceptions.SelendroidException"
"com.android.tools.idea.gradle.project.ProjectImportError"
"java.lang.InterruptedException"
"IfError"
"java.lang.IllegalStateException"
"java.lang.ArrayIndexOutOfBoundException"
"android.view.InflateException"
"javax.net.ssl.SSLPeerUnverifiedException"
"IllegalArgumentException"
"com.google.android.mms.MmsException"
"org.thoughtcrime.securesms.mms.ApnUnavailableException"
"javax.annotation.processing.FilerException"
"java.util.MissingResourceException"
"com.dsatab.exception.ArtUnknownException"
"edu.mit.mobile.android.locast.net.ClientResponseException"
"java.lang.ClassCastException"
"org.thoughtcrime.securesms.transport.UndeliverableMessageException"
"java.lang.IndexOutOfBoundsException"
"java.io.FileNotFoundException"
"android.os.NetworkOnMainThreadException"
"org.apache.http.conn.HttpHostConnectException"
"org.springframework.web.client.ResourceAccessException"
"com.stackmob.sdk.exception.StackMobHTTPResponseException"
"ws.com.google.android.mms.MmsException"
"java.net.SocketTimeoutException"
"java.lang.NoSuchMethodException"
"android.content.ActivityNotFoundException"
"org.ros.exception.ServiceNotFoundException"
"brut.androlib.AndrolibException"
"com.google.android.gms.auth.UserRecoverableAuthException"
"java.util.UnknownFormatConversionException"
"javax.net.ssl.SSLProtocolException"
"com.github.andlyticsproject.console.AuthenticationException"
"rajawali.materials.textures.ATexturedTextureException"
"android.content.IntentSenderdSendIntentException"
"java.util.zip.ZipException"
"java.lang.NoSuchFieldError"
"org.thoughtcrime.securesms.crypto.InvalidMacException"
"java.lang.NullPointerException"
"com.android.dx.cf.iface.ParseException"
"java.lang.ArrayStoreException"
"at.tomtasche.reader.background.DocumentLoaderdEncryptedDocumentException"
"java.security.InvalidKeyException"
"com.android.ddmlib.SyncException"
"java.lang.NumberFormatException"
"java.lang.ClassNotFoundException"
"java.lang.RuntimeException"
"org.apache.maven.plugin.MojoFailureException"
"java.lang.PointerException"
"java.lang.IllegalMonitorStateException"
"org.json.JSONException"
"com.todotxt.todotxttouch.TodoException"
"android.util.AndroidRuntimeException"
"io.selendroid.exceptions.DeviceStoreException"
"org.apache.http.auth.AuthenticationException"
"java.net.SocketException"
"io.filepicker.AuthError"
"com.android.internal.telephony.cdma.sms.BearerDatadCodingException"
"java.util.NoSuchElementException"
"org.androidtransfuse.TransfuseAnalysisException"
"com.better.alarm.model.interfaces.AlarmNotFoundException"
"at.andiwand.odf2html.odf.IllegalMimeTypeException"
"java.lang.UnsupportedOperationException"
"android.database.sqlite.SQLiteDatabaseLockedException"
"android.database.sqlite.DatabaseObjectNotClosedException"
"com.github.mobile.accounts.TwoFactorAuthException"
"com.fasterxml.jackson.databind.exc.UnrecognizedPropertyException"
"org.codehaus.jackson.map.JsonMappingException"
"com.android.calendarcommon2.DateException"
"android.database.sqlite.SQLiteConstraintException"
"com.facebook.FacebookAuthorizationException"
"android.util.AndroidException"
"org.apache.maven.plugin.CompilationFailureException"
"android.database.sqlite.SQLiteMisuseException"
"java.sql.SQLException"
"org.gege.caldavsyncadapter.caldav.CaldavProtocolException"
"android.os.TransactionTooLargeException"
"System.Net.WebException"
"Error"
"com.ninetwozero.battlelog.datatype.WebsiteHandlerException"
"android.content.res.ResourcesdNotFoundException"
"java.security.cert.CertPathValidatorException"
"com.github.andlyticsproject.exception.AuthenticationException"
"java.lang.AbstractMethodError"
"android.app.RemoteServiceException"
"java.io.NotSerializableException"
"com.fiksu.asotracking.FiksuIntegrationError"
"com.jayway.maven.plugins.android.ExecutionException"
"at.andiwand.odf2html.odf.ZipEntryNotFoundException"
"org.apache.maven.plugin.MojoExecutionException"
"SAXException"
"java.util.zip.ZipException"
"com.sun.codemodel.JClassAlreadyExistsException"
"java.lang.reflect.InvocationTargetException"
"com.github.andlyticsproject.admob.AdmobAccountRemovedException"
"libcore.io.ErrnoException"
"android.database.CursorIndexOutOfBoundsException"
"java.lang.IncompatibleClassChangeError"
"java.lang.UnsatisfiedLinkError"
"org.dom4j.DocumentException"
"org.apache.http.conn.ConnectTimeoutException"
"com.squareup.picasso.DownloaderdResponseException"
"JSONException"
"org.openqa.selenium.remote.Error"
"org.apache.maven.wagon.authorization.AuthorizationException"
"java.io.IOException"
"java.net.ProtocolException"
"android.database.sqlite.SQLiteDiskIOException"
"io.selendroid.exceptions.SessionNotCreatedException"
"java.security.cert.CertificateNotYetValidException"
"com.todotxt.todotxttouch.remote.RemoteException"
"java.lang.NoSuchMethodError"
"com.dsatab.exception.FeatureTypeUnknownException"
"de.greenrobot.event.EventBusException"
"java.lang.IllegalArgumentException"
"com.couchbase.lite.CouchbaseLiteException"
"org.andengine.util.exception.AndEngineRuntimeException"
"org.xmlpull.v1.XmlPullParserException"
"com.facebook.FacebookOperationCanceledException"
"java.lang.AssertionError"
"org.whispersystems.textsecure.crypto.InvalidMessageException"
"org.xml.sax.SAXException"
"java.lang.Exception"
"org.apache.http.client.HttpResponseException"
"java.lang.SecurityException"
"javax.crypto.BadPaddingException"
"org.apache.http.ProtocolException"
"com.google.android.gcm.server.InvalidRequestException"
"com.github.andlyticsproject.exception.InvalidJSONResponseException"
"com.dsatab.exception.TalentTypeUnknownException"
"java.text.ParseException"
"java.net.MalformedURLException"
"io.selendroid.exceptions.ShellCommandException"
"java.lang.NegativeArraySizeException"
"android.app.SuperNotCalledException"
"java.util.zip.DataFormatException"
"java.security.NoSuchAlgorithmException"
"org.apache.http.NoHttpResponseException"
"android.database.StaleDataException"
"com.orm.androrm.NoSuchFieldException"
"org.eclipse.jgit.errors.MissingObjectException"
"java.security.AccessControlException"
"java.io.StreamCorruptedException"
"org.gradle.api.internal.tasks.compile.CompilationFailedException"
"com.google.android.gms.auth.GoogleAuthException"
"java.lang.IllegalThreadStateException"
"java.lang.TypeNotPresentException"
"java.util.concurrent.TimeoutException"
"java.lang.IllegalAccessError"
"org.andengine.opengl.shader.exception.ShaderProgramException"
"android.database.sqlite.SQLiteException"
"java.lang.StackOverflowError"
"java.util.IllegalFormatConversionException"
"com.facebook.FacebookException"
"ArgumentException"
"net.fortuna.ical4j.data.ParserException"
"java.nio.charset.IllegalCharsetNameException"
"java.lang.InstantiationException"
"com.github.andlyticsproject.console.NetworkException"
"org.openqa.selenium.WebDriverException"
"org.gradle.tooling.BuildException"
"org.eclipse.core.internal.resources.ResourceException"
"0java.util.concurrent.RejectedExecutionException"
"android.view.WindowManagerdBadTokenException"
"com.leansoft.nano.exception.MappingException"
"com.facebook.common.network.DNSUnresolvedException"
"de.greenrobot.dao.DaoException"
"android.os.BadParcelableException"
"ions.ShellCommandException"
"org.springframework.web.client.DefaultResponseError"
"net.sourceforge.scuba.smartcards.CardServiceException"
"android.database.CursorWindowAllocationException"
"java.util.EmptyStackException"
"org.mythtv.services.api.MythServiceApiRuntimeException"
"org.springframework.web.client.HttpClientErrorException"
"org.parceler.ParcelerRuntimeException"
"java.lang.StringIndexOutOfBoundsException"
"java.lang.annotation.AnnotationTypeMismatchException"
"org.whispersystems.textsecure.push.UnregisteredUserException"
"at.bitfire.davdroid.webdav.NotFoundException"
"java.lang.ArrayIndexOutOfBoundsException"
"java.lang.OutOfMemoryError"
"java.io.EOFException"
"java.util.ConcurrentModificationException"
"java.lang.ExceptionInInitializerError"
"android.os.DeadObjectException"
"at.andiwand.commons.lwxml.reader.LWXMLReaderException"
"java.util.MissingFormatWidthException"
"java.net.ConnectException"
"com.zimbra.common.service.ServiceException"
"android.database.sqlite.SQLiteDatabaseCorruptException"
"com.android.dex.DexException"
"Exception"
"java.lang.ArithmeticException"
"javax.net.ssl.SSLException"
"java.lang.NoSuchFieldException"
"org.apache.http.HttpException"
"java.net.URISyntaxException"
"java.net.UnknownHostException"
"android.database.sqlite.SQLiteCantOpenDatabaseException"
"java.security.cert.CertificateException"
"ResponseDataNoError"
"org.thoughtcrime.securesms.recipients.RecipientFormattingException"
"org.apache.http.client.ClientProtocolException"
"android.accounts.AuthenticatorException"
"org.webbitserver.WebbitException"
"IllegalStateException"
"org.simpleframework.xml.core.AttributeException"
"java.nio.channels.UnresolvedAddressException"
"android.view.GLES20CanvasdInvalidDrawException"
"org.xml.sax.SAXParseException"
"dagger.internal.ThrowingError"
"net.sqlcipher.database.SQLiteException"
"cgeo.geocaching.geopoint.GeopointdMalformedCoordinateException"
"javax.crypto.ShortBufferException"
